	;Iter 1; Iter 2; Iter 3; Iter 4; Iter 5; Iter 6; Iter 7; Iter 8; Iter 9; Iter 10; 
 Gen 1;-1,12036;-4,03722;-11,70955;-16,52694;-16,52694;-16,52694;-16,52694;-16,65365;-16,65365;-16,65365;
 Gen 2;-10,24052;-16,19018;-16,19018;-16,19018;-16,19018;-16,19018;-16,19018;-16,19018;-16,37233;-16,37233;
 Gen 3;-11,20268;-11,20268;-11,20268;-11,52099;-12,7202;-13,18024;-13,18024;-13,18024;-13,72363;-13,72363;
 Gen 4;-9,96868;-9,96868;-9,96868;-9,96868;-9,96868;-15,09884;-15,09884;-15,09884;-16,50155;-16,75215;
 Gen 5;-13,27866;-13,27866;-13,68348;-13,68348;-13,68348;-13,68348;-13,68348;-13,69828;-16,73877;-16,73877;
 Gen 6;-16,73877;-16,73877;-16,81364;-16,85935;-16,85935;-16,85935;-16,85935;-16,85935;-16,85935;-16,85935;
 Gen 7;-16,73877;-16,73877;-16,8635;-16,8635;-16,8635;-16,8635;-16,8635;-16,87594;-16,8635;-16,8635;
 Gen 8;-16,82218;-16,82218;-16,87594;-16,87594;-16,87594;-16,87594;-16,87594;-16,87594;-16,87594;-16,87594;
 Gen 9;-7,30594;-7,40163;-13,64168;-13,64168;-13,72363;-13,73091;-13,73941;-13,73941;-13,73941;-13,73941;
 Gen 10;-16,8635;-16,8635;-16,63472;-16,63472;-16,63472;-16,63472;-16,87594;-16,87594;-16,87594;-16,87594;
 Gen 11;-14,18222;-16,65365;-14,54387;-14,54387;-15,1947;-15,1947;-16,65365;-16,65365;-16,65365;-16,65365;
 Gen 12;-5,09781;-16,8635;-16,8635;-16,8635;-16,73877;-16,85935;-16,75215;-16,75215;-5,12333;-5,12333;
 Gen 13;-16,75215;-16,75215;-16,52694;-16,52694;-16,65365;-16,65365;-16,65365;-16,65365;-16,65365;-16,65365;
 Gen 14;-3,98774;-4,25389;-8,01124;-10,01111;-10,01111;-10,01111;-9,28137;-10,45875;-13,3303;-13,3303;
 Gen 15;-15,09884;-16,1482;-16,1482;-16,87594;-16,87594;-16,87594;-16,87594;-16,87594;-16,87594;-16,87594;
 Gen 16;-13,27866;-13,41646;-13,41646;-13,41646;-13,41646;-13,41646;-13,41646;-16,63472;-16,63472;-16,87594;
 Gen 17;-13,41646;-13,41646;-13,41646;-13,41646;-13,41646;-13,41646;-13,64168;-13,41646;-13,41646;-13,41646;
 Gen 18;-16,33933;-16,33933;-16,37233;-16,37233;-16,81364;-16,81364;-16,81364;-16,8635;-16,8635;-16,8635;
 Gen 19;-16,33933;-16,33933;-16,82218;-16,82218;-16,82218;-16,82218;-16,81364;-16,85935;-16,85935;-16,85935;
 Gen 20;-15,92834;-16,63472;-16,63472;-16,87594;-16,87594;-16,87594;-16,87594;-16,87594;-16,87594;-16,87594;
 Gen 21;

M̩dia Gen: ;-6.64679;-7.81582;-6.24186;-6.41968;-7.10753;-8.41533;-8.4199;-8.43259;-6.22016;-8.38848;-7.84638;-6.65187;-8.324;-4.63435;-8.27634;-7.19614;-6.71949;-8.32274;-8.36795;-8.36647;


